Google ID,SharePoint Path
1-4jtfBYyOxjNMUhkoEwLzghpdAnn9a61,/sites/Etabeta-ERP/Shared Documents/Deals/TickerNext
1S2j5XYNSXxI-6LbnKcIf2pSdZUohacG6,/sites/Etabeta-ERP/Shared Documents/Deals/Tiptobe - seed
1ormBec-OnnzijGf5kjkcCRR7oAhGFx4K,/sites/Etabeta-ERP/Shared Documents/Deals/Wetaxi - Series A
19v6RATl0HQNXdXh0ogfHjfLl4dli05HQ,/sites/Etabeta-ERP/Shared Documents/Deals/Qaplà - series A
1GYhdAPmZ2SKkAo0K5xUGy4KWUO2cpJxd,/sites/Etabeta-ERP/Shared Documents/Deals/Portal Technologies - seed
1Afm4FUFWoyivka9UjwGj3Mur-tddShGv,/sites/Etabeta-ERP/Shared Documents/Deals/YOUL The Social Solidarity Club - seed
1TEhyxOf0bMwEcSn4mfJiKlMriB-nQz71,/sites/Etabeta-ERP/Shared Documents/Deals/Recruitment Smart
13TijfMAm0SIVvCBaHmFLD7OnANQbcwpy,/sites/Etabeta-ERP/Shared Documents/Deals/ItaliaNFT - Seed
10fNkkcgYLz-ZjPJfLSYuQwLRBVf38GGN,/sites/Etabeta-ERP/Shared Documents/Deals/Series A - Tot
1of1XLOzbN75kt7852WtnvXlU-BMsWa7y,/sites/Etabeta-ERP/Shared Documents/Deals/Wype - seed
1_Y-yPojxn6LtNQkarmmmrFFzYnxTK49S,/sites/Etabeta-ERP/Shared Documents/Deals/Bagpoint - series A
1XbDa2cA5QHPhXaAENmbvr5gko9gua2l4,/sites/Etabeta-ERP/Shared Documents/Deals/FLY-FARM - seed
1S5peMsdauf54HSoFyeK-gb3nVJ31ZCFh,/sites/Etabeta-ERP/Shared Documents/Deals/Fido.rent - seed
13mxs-QdOAgjiNvhMcVTHFgcolTiupK0U,/sites/Etabeta-ERP/Shared Documents/Deals/Fontilio - seed
1S2Jrune9Fe0P6HochPW_PmVuj_bZEe3Y,/sites/Etabeta-ERP/Shared Documents/Deals/cdc_studio - seed
1S8RDGF61Ns3u9EzsRfMLe-VashYKyYpd,/sites/Etabeta-ERP/Shared Documents/Deals/BizBiz Global - Seed
1M6UnSnp4a7X2O5-uGKLJY0FNY3JBkm2j,/sites/Etabeta-ERP/Shared Documents/Deals/Francesco Landolfi
1VDH80K7TMDFYoG5QLJLWbtco0R8MLEGj,/sites/Etabeta-ERP/Shared Documents/Deals/Cloud-R Seed
1DCPUblV1PdwoSr-AP7KbtKOGx6hhcmsy,/sites/Etabeta-ERP/Shared Documents/Deals/B-Datagray - seed
1Wvaqjl8X299OWBwxMEKjdWSIawg4wL46,/sites/Etabeta-ERP/Shared Documents/Deals/LocalGreen - seed
19k2o4daK60OAPjM9rQcoJ7yKeI6Dk4Yz,/sites/Etabeta-ERP/Shared Documents/Deals/Makersite - Series A
1RECrVb4IQXn4ssNBEYuYY547iXRGgvVE,/sites/Etabeta-ERP/Shared Documents/Deals/Global Changer - Seed
1QCetC1qv-V67KHZGg-B3-IarHA6vByKt,/sites/Etabeta-ERP/Shared Documents/Deals/Supermercato24
1A9en5INDvKI0yfkGuhPuIKOe2bpNO7kS,/sites/Etabeta-ERP/Shared Documents/Deals/YourHero - Series A
1cNmYhN-o5EbQBmZ32q34mlgOzI3C-muo,/sites/Etabeta-ERP/Shared Documents/Deals/smartway.work - seed
1ZWCrJcpItAdBNqRGd98PDE2a07H2_MUj,/sites/Etabeta-ERP/Shared Documents/Deals/Invest-t s.r.l. - seed
